scientific_name,common_name,wood_type
Abies,(true) fir ,softwood
A. alba,Norway fir,softwood
A. amabilis,Pacific silver fir,softwood
A. balsamea,balsam fir,softwood
A. concolor,white fir,softwood
A. grandis,grand fir,softwood
A. lasiocarpa,subalpine fir,softwood
A. magnifica,California red fir,softwood
A. procera,noble fir,softwood
Chamaecyparis,white-cedar,softwood
C. lawsoniana,Port-Orford-cedar,softwood
C. nootkatensis,Alaska-cedar,softwood
C. thyoides,Atlantic white-cedar,softwood
Juniperus virginiana Larix,eastern redcedar,softwood
Larix,larch,softwood
L. decidua,European larch,softwood
L. laricina,tamarack,softwood
L. occidentalis,western larch,softwood
Libocedrus decurrens,incense-cedar,softwood
Picea,spruce,softwood
P. abies,Norway spruce,softwood
P. engelmannii,Engelmann spruce,softwood
P. glauca,white spruce,softwood
P. mariana,black spruce,softwood
P. rubens,red spruce,softwood
P. sitchensis,Sitka spruce,softwood
Pinus,pine,softwood
P. albicaulis,whitebark pine,softwood
P. contorta,lodgepole pine,softwood
P. echinata,shortleaf pine,softwood
P. elliottii,slash pine,softwood
P. flexilis,limber pine,softwood
P. lambertiana,sugar pine,softwood
P. monticola,westem white pine,softwood
P. palustris,longleaf pine,softwood
P. ponderosa,ponderosa pine,softwood
P. resinosa,red pine,softwood
P. rigida,pitch pine,softwood
P. strobus,eastern white,softwood
P. sylvestris,pine Scots pine,softwood
P. taeda,loblolly pine,softwood
Pseudotsuga menziesii,Douglas-fir,softwood
Sequoia sempervirens,redwood,softwood
Sequoiadendron giganteum,giant sequoia,softwood
Tax ium distichum,baldcypress,softwood
Taxus,yew,softwood
T. baccata,European yew,softwood
T. brevifolia,Pacific yew,softwood
Thuja,thuja,softwood
T. occidentalis,northern white-cedar,softwood
T. plicata,western redcedar,softwood
Tsuga,heml k,softwood
T. canadensis,eastern hemlock,softwood
T. heterophylla,western hemlock,softwood
Acer,maple,hardwood
A. campestre,field maple,hardwood
A. macrophyllum,bigleaf maple,hardwood
A. negundo,boxelder,hardwood
A. nigrum,black maple,hardwood
A. platanoides,Norway maple,hardwood
A. pseudoplatanus,sycamore (British),hardwood
A. rubrum,red maple,hardwood
A. saccharinum,silver maple,hardwood
A. saccharum,sugar maple,hardwood
Aesculus,"buckeye, horsechestnut",hardwood
A. glabra,Ohio buckeye,hardwood
A. hippocastanum,horsechestnut,hardwood
A. octandra,yellow buckeye,hardwood
Alnus,alder,hardwood
A. glutinosa,common alder,hardwood
